new_header	file	line	matched_include	text
m-kconfig/include/kconfig/data/directory_override.hpp	m-karma/src/app/shared/bootstrap_spec.cpp	3	karma/common/data/directory_override.hpp	#include <karma/common/data/directory_override.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/client/net/connection/outbound.cpp	5	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/client/net/world_package/apply.cpp	6	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/client/net/world_package/bridge.cpp	7	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	13	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/fonts/console_fonts.cpp	4	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/imgui/backend.cpp	3	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/imgui/console/console.cpp	15	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	17	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/backend.cpp	38	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/console/console.cpp	10	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/console/emoji_utils.cpp	7	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel.cpp	11	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_community.cpp	25	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	22	karma/common/data/path_resolver.hpp	"#include ""karma/common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/app/shared/bootstrap_spec.cpp	4	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	4	common/data/path_resolver.hpp	"#include ""common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	4	common/data/path_resolver.hpp	"#include ""common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/cli/server/runtime_options.cpp	8	common/data/path_resolver.hpp	"#include ""common/data/path_resolver.hpp"""
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/common/content/catalog.cpp	5	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/common/tests/data_path_contract_test.cpp	1	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/physics/tests/parity/common.cpp	5	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	5	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/renderer/backends/bgfx/contracts.cpp	5	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/renderer/backends/bgfx/pipeline.cpp	3	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/renderer/tests/renderer_shadow_sandbox.cpp	3	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/scene/scene_bootstrap.cpp	4	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_resolver.hpp	m-karma/src/ui/backends/rmlui/adapter.cpp	6	karma/common/data/path_resolver.hpp	#include <karma/common/data/path_resolver.hpp>
m-kconfig/include/kconfig/data/path_utils.hpp	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	5	common/data/path_utils.hpp	"#include ""common/data/path_utils.hpp"""
m-kconfig/include/kconfig/data/path_utils.hpp	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	5	common/data/path_utils.hpp	"#include ""common/data/path_utils.hpp"""
m-kconfig/include/kconfig/data/path_utils.hpp	m-karma/src/cli/server/runtime_options.cpp	9	common/data/path_utils.hpp	"#include ""common/data/path_utils.hpp"""
m-kconfig/include/kconfig/data/root_policy.hpp	m-karma/src/renderer/tests/renderer_shadow_sandbox.cpp	2	common/data/root_policy.hpp	"#include ""common/data/root_policy.hpp"""
m-kconfig/include/kconfig/data/root_policy.hpp	m-karma/src/tests/support/test_asset_path.cpp	2	common/data/root_policy.hpp	"#include ""common/data/root_policy.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/domain/tank_collision_step_stats.cpp	3	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/domain/tank_motion_authority_state_machine.cpp	3	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/net/connection/core.cpp	6	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/runtime/engine_config.cpp	4	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/runtime/lifecycle.cpp	7	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/runtime/startup_options.cpp	4	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/client/runtime/tank_entity.cpp	7	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/domain/world_session.cpp	4	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/net/transport_event_source/core.cpp	3	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/net/transport_event_source/send.cpp	3	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/player_name_policy.hpp	9	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/runtime/config.cpp	4	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/runtime/run.cpp	11	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/server/runtime/server_game.cpp	13	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/ui/frontends/imgui/console/console.cpp	13	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	19	karma/common/config/helpers.hpp	"#include ""karma/common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/app/client/backend_resolution.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/app/server/backend_resolution.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/app/server/runner.cpp	6	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/app/shared/runtime_identity.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/cli/server/runtime_options.cpp	6	common/config/helpers.hpp	"#include ""common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/common/content/catalog.cpp	4	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/input/input_system.cpp	3	common/config/helpers.hpp	"#include ""common/config/helpers.hpp"""
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/community/heartbeat.cpp	5	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/community/heartbeat_client.cpp	5	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/config/reconnect_policy.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/config/transport_mapping.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/content/transfer_sender.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/network/server/auth/preauth.cpp	5	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/scene/roaming_camera.cpp	6	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/ui/backends/imgui/core.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/ui/backends/rmlui/adapter.cpp	5	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/ui/backends/rmlui/stub.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/ui/backends/software/core.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/helpers.hpp	m-karma/src/ui/system.cpp	3	karma/common/config/helpers.hpp	#include <karma/common/config/helpers.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/tests/server_join_runtime_contract_test.cpp	2	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/core/system.cpp	4	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/imgui/backend.cpp	4	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/imgui/console/console.cpp	16	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/imgui/console/panels/panel_settings.cpp	7	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	18	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/imgui/hud/fps.cpp	7	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/rmlui/backend.cpp	29	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel.cpp	12	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_settings.cpp	16	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/rmlui/hud/hud.cpp	10	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-bz3/src/ui/frontends/rmlui/translate.hpp	5	karma/common/i18n/i18n.hpp	"#include ""karma/common/i18n/i18n.hpp"""
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/app/client/bootstrap.cpp	9	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/app/server/bootstrap.cpp	7	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/cli/client/parser.cpp	8	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/cli/server/parser.cpp	7	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/network/server/auth/preauth.cpp	6	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/network/server/session/hooks.cpp	3	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/i18n.hpp	m-karma/src/network/server/session/join_runtime.cpp	3	karma/common/i18n/i18n.hpp	#include <karma/common/i18n/i18n.hpp>
m-kconfig/include/kconfig/json.hpp	m-bz3/src/tests/server_net_contract_test.cpp	16	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/config/ui_config.cpp	4	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/config/ui_config.hpp	7	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/frontends/imgui/console/console.cpp	12	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/frontends/imgui/console/panels/panel_start_server.cpp	13	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/frontends/rmlui/console/console.hpp	7	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_community.cpp	19	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_start_server.cpp	18	karma/common/serialization/json.hpp	"#include ""karma/common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-karma/src/cli/server/runtime_options.cpp	10	common/serialization/json.hpp	"#include ""common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-karma/src/common/content/archive.hpp	7	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/json.hpp	m-karma/src/common/tests/config_store_named_api_test.cpp	2	common/serialization/json.hpp	"#include ""common/serialization/json.hpp"""
m-kconfig/include/kconfig/json.hpp	m-karma/src/common/tests/data_path_contract_test.cpp	2	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/json.hpp	m-karma/src/karma/common/content/catalog.hpp	4	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/json.hpp	m-karma/src/network/auth/structured_payload.cpp	3	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/json.hpp	m-karma/src/network/community/heartbeat_client.cpp	6	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/json.hpp	m-karma/src/network/server/auth/preauth.cpp	7	karma/common/serialization/json.hpp	#include <karma/common/serialization/json.hpp>
m-kconfig/include/kconfig/store.hpp	m-bz3/src/client/net/world_package/apply.cpp	3	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/client/runtime/tank_collision.cpp	9	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/client/runtime/tank_entity.cpp	8	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/server/net/event_source.cpp	5	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/server/runtime/config.cpp	5	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/server/runtime/server_game.cpp	14	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	8	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/tests/community_heartbeat_integration_test.cpp	1	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/tests/server_net_contract_test.cpp	15	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/tests/support/loopback_harness.hpp	7	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/config/config.cpp	3	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/config/render_scale.cpp	3	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/config/ui_config.cpp	3	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/controllers/bindings_controller.cpp	8	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/controllers/settings_controller.cpp	4	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/core/system.cpp	6	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/fonts/console_fonts.cpp	3	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/frontends/imgui/console/console.cpp	14	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/frontends/imgui/console/panels/panel_settings.cpp	6	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/frontends/rmlui/backend.cpp	39	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-bz3/src/ui/frontends/rmlui/console/panels/panel_settings.cpp	15	karma/common/config/store.hpp	"#include ""karma/common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-karma/src/app/client/backend_resolution.cpp	4	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/app/shared/config_overrides.cpp	3	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	3	common/config/store.hpp	"#include ""common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	3	common/config/store.hpp	"#include ""common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-karma/src/cli/server/runtime_options.cpp	7	common/config/store.hpp	"#include ""common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-karma/src/common/tests/config_store_named_api_test.cpp	1	common/config/store.hpp	"#include ""common/config/store.hpp"""
m-kconfig/include/kconfig/store.hpp	m-karma/src/karma/app/shared/bootstrap_spec.hpp	3	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/network/client/auth/community_credentials.cpp	3	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/physics/tests/parity/common.cpp	4	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/physics/tests/parity/engine_sync_checks.cpp	4	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/store.hpp	m-karma/src/scene/scene_bootstrap.cpp	3	karma/common/config/store.hpp	#include <karma/common/config/store.hpp>
m-kconfig/include/kconfig/validation.hpp	m-bz3/src/server/runtime/run.cpp	12	karma/common/config/validation.hpp	"#include ""karma/common/config/validation.hpp"""
m-kconfig/include/kconfig/validation.hpp	m-karma/src/app/client/bootstrap.cpp	8	common/config/validation.hpp	"#include ""common/config/validation.hpp"""
